;t100;t900;a201
398;2022-07;0;Sponsoring
399;2022-07;128538.43;Teigw./Spätzli/Gnoc.
400;2022-08;8720;Bofrost
401;2022-08;770892.527;Convenience
402;2022-08;9773.725;Federwild
403;2022-08;7784878.187;Fisch
404;2022-08;4111377.435;Fleisch
405;2022-08;33617.2;Früchte
406;2022-08;3943566.61;Geflügel
407;2022-08;80949.367;Gemüse
408;2022-08;96469.199;Gesperrte Artikel
409;2022-08;374386.391;Haarwild
410;2022-08;17257.47;Kolonialwaren
411;2022-08;15589.327;Konserven divers
412;2022-08;3250706.551;Krusten/Sch-Weichtie
413;2022-08;262486.916;Milchprodukte
414;2022-08;2900.7;Non Food
415;2022-08;27770.249;Nordsee
416;2022-08;26188.5;Oel/Essig/Senf
417;2022-08;27103.637;Pasteten/Terrinen
418;2022-08;190520.5;Pilze
419;2022-08;1339.2;Post/cargo
420;2022-08;143348.97;Teigw./Spätzli/Gnoc.
421;2022-09;2352;Bofrost
422;2022-09;751501.335;Convenience
423;2022-09;29153.858;Federwild
424;2022-09;6787242.456;Fisch
425;2022-09;3466730.447;Fleisch
426;2022-09;39509.13;Früchte
427;2022-09;3825984.283;Geflügel
428;2022-09;63186.681;Gemüse
429;2022-09;120391.608;Gesperrte Artikel
430;2022-09;1148010.45;Haarwild
431;2022-09;15166.12;Kolonialwaren
432;2022-09;15738.878;Konserven divers
433;2022-09;2784555.667;Krusten/Sch-Weichtie
434;2022-09;201597.952;Milchprodukte
435;2022-09;4999.65;Non Food
436;2022-09;32565.213;Nordsee
437;2022-09;23154.4;Oel/Essig/Senf
438;2022-09;38450.355;Pasteten/Terrinen
439;2022-09;224925.903;Pilze
440;2022-09;1012;Post/cargo
441;2022-09;181205.682;Teigw./Spätzli/Gnoc.
442;2022-10;74523.8;Bofrost
443;2022-10;667004.824;Convenience
444;2022-10;23693.344;Federwild
445;2022-10;5987241.421;Fisch
446;2022-10;3117976.513;Fleisch
447;2022-10;32716;Früchte
448;2022-10;3420026.795;Geflügel
449;2022-10;57461.41;Gemüse
450;2022-10;164418.477;Gesperrte Artikel
451;2022-10;1213059.478;Haarwild
452;2022-10;14389.32;Kolonialwaren
453;2022-10;12792.76;Konserven divers
454;2022-10;2456113.71;Krusten/Sch-Weichtie
455;2022-10;163222.49;Milchprodukte
456;2022-10;610.6;Non Food
457;2022-10;31837.157;Nordsee
458;2022-10;19443.2;Oel/Essig/Senf
459;2022-10;31254.006;Pasteten/Terrinen
460;2022-10;263729.04;Pilze
461;2022-10;532;Post/cargo
462;2022-10;0;Sponsoring
463;2022-10;170578.97;Teigw./Spätzli/Gnoc.
464;2022-11;705415.549;Convenience
465;2022-11;6856.22;Federwild
466;2022-11;6176243.971;Fisch
467;2022-11;3522287.993;Fleisch
468;2022-11;30821.8;Früchte
469;2022-11;3731726.262;Geflügel
470;2022-11;58522.8;Gemüse
471;2022-11;132262.642;Gesperrte Artikel
472;2022-11;611219.686;Haarwild
473;2022-11;14891.68;Kolonialwaren
474;2022-11;19129.702;Konserven divers
475;2022-11;2678356.295;Krusten/Sch-Weichtie
476;2022-11;163562.989;Milchprodukte
477;2022-11;2278.3;Non Food
478;2022-11;44595.641;Nordsee
479;2022-11;21511.3;Oel/Essig/Senf
480;2022-11;27830.894;Pasteten/Terrinen
481;2022-11;264078.08;Pilze
482;2022-11;850;Post/cargo
483;2022-11;0;Sponsoring
484;2022-11;186444.14;Teigw./Spätzli/Gnoc.
485;2022-12;687899.656;Convenience
486;2022-12;3189.872;Federwild
487;2022-12;7726841.577;Fisch
488;2022-12;4466235.237;Fleisch
489;2022-12;40681;Früchte
490;2022-12;3902158.984;Geflügel
491;2022-12;69476.2;Gemüse
492;2022-12;138597.551;Gesperrte Artikel
493;2022-12;306265.635;Haarwild
494;2022-12;16642.37;Kolonialwaren
495;2022-12;24254.31;Konserven divers
496;2022-12;3882262.338;Krusten/Sch-Weichtie
497;2022-12;175472.654;Milchprodukte
498;2022-12;2097.45;Non Food
499;2022-12;38198.365;Nordsee
500;2022-12;27810.6;Oel/Essig/Senf
501;2022-12;88157.543;Pasteten/Terrinen
502;2022-12;419090.777;Pilze
503;2022-12;6579.2;Post/cargo
504;2022-12;171611.545;Teigw./Spätzli/Gnoc.
