;t100;indep;t900;a201
403;2021-11;0;17796.55;Gemüse
404;2021-11;0;283744.846;Haarwild
405;2021-11;0;4819.95;Kolonialwaren
406;2021-11;0;4645.849;Konserven divers
407;2021-11;0;1070385.7;Krusten/Sch-Weichtie
408;2021-11;0;45897.736;Milchprodukte
409;2021-11;0;346.3;Non Food
410;2021-11;0;6918.329;Nordsee
411;2021-11;0;7579.625;Oel/Essig/Senf
412;2021-11;0;11325.162;Pasteten/Terrinen
413;2021-11;0;106064.58;Pilze
414;2021-11;0;529.2;Post/cargo
415;2021-11;0;865.27;Rabatte
416;2021-11;0;0;Sponsoring
417;2021-11;0;43388.9;Teigw./Spätzli/Gnoc.
418;2021-11;1;163606.199;Bofrost
419;2021-11;1;333552.136;Convenience
420;2021-11;1;3196.025;Federwild
421;2021-11;1;2637687.636;Fisch
422;2021-11;1;1220563.079;Fleisch
423;2021-11;1;9454.1;Früchte
424;2021-11;1;1465930.226;Geflügel
425;2021-11;1;24484.55;Gemüse
426;2021-11;1;199804.412;Haarwild
427;2021-11;1;6045.25;Kolonialwaren
428;2021-11;1;7485.1;Konserven divers
429;2021-11;1;1065588.312;Krusten/Sch-Weichtie
430;2021-11;1;49300.798;Milchprodukte
431;2021-11;1;316.2;Non Food
432;2021-11;1;29262.743;Nordsee
433;2021-11;1;9158.22;Oel/Essig/Senf
434;2021-11;1;15650.948;Pasteten/Terrinen
435;2021-11;1;111141.28;Pilze
436;2021-11;1;5975.49;Rabatte
437;2021-11;1;66059.93;Teigw./Spätzli/Gnoc.
438;2021-12;0;172551.375;Convenience
439;2021-12;0;5796.776;Federwild
440;2021-12;0;2936228.278;Fisch
441;2021-12;0;1707987.416;Fleisch
442;2021-12;0;10148.5;Früchte
443;2021-12;0;1344325.107;Geflügel
444;2021-12;0;19438.5;Gemüse
445;2021-12;0;109555.072;Haarwild
446;2021-12;0;4814.8;Kolonialwaren
447;2021-12;0;5900.73;Konserven divers
448;2021-12;0;1494342.961;Krusten/Sch-Weichtie
449;2021-12;0;57612.559;Milchprodukte
450;2021-12;0;1311.1;Non Food
451;2021-12;0;6288.23;Nordsee
